metric,architecture,mean,std,n_numeric,n_na,n_bool
val/routing_recall_matched/E1_ADD_SUB,moe,0.4869172932,0.353813102,5,0,0
val/routing_recall_matched/E1_ADD_SUB,mor,N/A,N/A,0,5,0
val/routing_recall_matched/E1_ADD_SUB,more,0.7412531328,0.2459037216,5,0,0
val/routing_recall_matched/E2_MULT_DIV,moe,0.6913126674,0.2823517273,5,0,0
val/routing_recall_matched/E2_MULT_DIV,mor,N/A,N/A,0,5,0
val/routing_recall_matched/E2_MULT_DIV,more,0.6831228473,0.2710835716,5,0,0
val/routing_recall_matched/E3_MOD_POW,moe,0.5172489083,0.07133717732,5,0,0
val/routing_recall_matched/E3_MOD_POW,mor,N/A,N/A,0,5,0
val/routing_recall_matched/E3_MOD_POW,more,0.5972707424,0.1988661365,5,0,0
val/routing_recall_matched/E4_LOGIC,moe,0.4412789038,0.188639619,5,0,0
val/routing_recall_matched/E4_LOGIC,mor,N/A,N/A,0,5,0
val/routing_recall_matched/E4_LOGIC,more,0.4421924065,0.3027336102,5,0,0
val/routing_recall_matched/E5_SHIFT,moe,0.4954920019,0.02469132227,5,0,0
val/routing_recall_matched/E5_SHIFT,mor,N/A,N/A,0,5,0
val/routing_recall_matched/E5_SHIFT,more,0.3951526903,0.2166585872,5,0,0
val/routing_recall_matched/E6_SORT_STAT,moe,0.4476935887,0.1054373169,5,0,0
val/routing_recall_matched/E6_SORT_STAT,mor,N/A,N/A,0,5,0
val/routing_recall_matched/E6_SORT_STAT,more,0.4359034138,0.116228632,5,0,0
val/task_loss,moe,0.06326005875,0.0001532598233,5,0,0
val/task_loss,mor,0.06270564475,0.0001122670752,5,0,0
val/task_loss,more,0.06318631942,0.000248839776,5,0,0
val_offline/avg_recursion_steps,moe,N/A,N/A,0,5,0
val_offline/avg_recursion_steps,mor,2.128324619,0.01877729523,5,0,0
val_offline/avg_recursion_steps,more,2.353125044,0.1086724944,5,0,0
val_offline/depth_allocation_error_abs,moe,N/A,N/A,0,5,0
val_offline/depth_allocation_error_abs,mor,0.9422922509,0.02656039189,5,0,0
val_offline/depth_allocation_error_abs,more,0.9939806734,0.1053728847,5,0,0
val_offline/depth_allocation_error_rel,moe,N/A,N/A,0,5,0
val_offline/depth_allocation_error_rel,mor,0.5939249124,0.02251775545,5,0,0
val_offline/depth_allocation_error_rel,more,0.6933883599,0.09314940894,5,0,0
val_offline/early_exit_rate,moe,N/A,N/A,0,5,0
val_offline/early_exit_rate,mor,0.9986493978,0.003020038391,5,0,0
val_offline/early_exit_rate,more,0.9996875472,0.0006708486133,5,0,0
